Price,Date,Close,High,Low,Open,Volume
Ticker,,^CNX100,^CNX100,^CNX100,^CNX100,^CNX100
214,2020-11-09,12545.4501953125,12557.599609375,12448.9501953125,12482.9501953125,0
215,2020-11-10,12683.349609375,12695.25,12556.25,12639.5,0
216,2020-11-11,12805.599609375,12824.0,12634.5,12733.2998046875,0
217,2020-11-12,12764.0498046875,12805.7001953125,12699.900390625,12766.75,0
218,2020-11-13,12804.25,12815.5498046875,12691.900390625,12735.599609375,0
219,2020-11-17,12960.900390625,13008.349609375,12884.9501953125,13007.4501953125,0
220,2020-11-18,13022.75,13032.599609375,12904.150390625,12948.25,0
221,2020-11-19,12864.849609375,13055.5,12840.0,12931.650390625,0
222,2020-11-20,12962.4501953125,12992.349609375,12832.099609375,12904.7001953125,0
223,2020-11-23,13036.650390625,13076.0,12946.650390625,13062.349609375,0
224,2020-11-24,13158.2998046875,13179.099609375,13090.099609375,13110.7998046875,0
225,2020-11-25,12959.7998046875,13244.7998046875,12935.5498046875,13231.900390625,0
226,2020-11-26,13087.75,13117.0498046875,12900.099609375,13001.400390625,8058100
227,2020-11-27,13080.2998046875,13146.849609375,13030.25,13117.099609375,0
228,2020-12-01,13225.7001953125,13244.2998046875,13088.0498046875,13180.2001953125,0
229,2020-12-02,13244.349609375,13254.849609375,13115.2001953125,13243.0,0
230,2020-12-03,13280.5,13342.9501953125,13252.349609375,13342.75,0
231,2020-12-04,13396.5,13415.0498046875,13288.9501953125,13325.099609375,0
232,2020-12-07,13497.849609375,13508.099609375,13387.849609375,13406.349609375,0
233,2020-12-08,13529.849609375,13575.4501953125,13439.2998046875,13536.75,0
234,2020-12-09,13649.599609375,13673.099609375,13589.849609375,13597.0498046875,0
235,2020-12-10,13612.349609375,13632.849609375,13519.349609375,13611.7001953125,0
236,2020-12-11,13647.900390625,13707.900390625,13532.2998046875,13646.2001953125,0
237,2020-12-14,13693.2001953125,13731.0498046875,13615.4501953125,13706.2001953125,7992900
238,2020-12-15,13697.7001953125,13716.150390625,13583.5498046875,13685.650390625,7278900
239,2020-12-16,13808.0498046875,13817.75,13735.9501953125,13792.150390625,0
240,2020-12-17,13852.5498046875,13890.099609375,13802.9501953125,13838.900390625,0
241,2020-12-18,13872.7998046875,13886.150390625,13767.4501953125,13877.75,0
242,2020-12-21,13431.2998046875,13887.400390625,13214.0,13852.75,0
243,2020-12-22,13577.349609375,13603.599609375,13272.0498046875,13467.099609375,0
244,2020-12-23,13725.5498046875,13744.099609375,13544.2001953125,13587.75,0
